city,state,address_1,postal_code,classification,reason_for_recall,product_description,product_quantity,status,dt_report_date,dt_termination_date,report_year,report_month,report_day
Grand Rapids,MI,2929 Walker Ave Nw,49544-6402,Class I,salads and sandwiches contain a sourced cooked egg ingredient which tested positive for Salmonella by the supplier.,MARKETS OF MEIJER EGG SALAD SANDWICH  8 OZ EA   individual packaged sandwich,4131 units,Terminated,2016-09-21,2016-10-28,2016,9,21
Camarillo,CA,1320 Flynn Rd Ste B,93012-8744,Class I,Undeclared allergen; egg,"Fine Sconehenge Baking Company, ENGLISH SCONE, individually sealed plastic bag",,Ongoing,2023-11-08,,2023,11,8
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Coffee Cake - Cheese Flavor packaged in an aluminum rectangular tray with plastic dome lid Single pack - 6 servings,22,Terminated,2022-03-16,2022-03-18,2022,3,16
Portland,OR,1703 Nw 16th Ave Ste B,97209-2505,Class I,Undeclared egg.  Label declares Mayo but does not declare Egg.,"Mio Salad Dressing packaged in 1 gallon plastic jug.  Label read in parts: ""Ingredient: Onion, Carrot, Ginger water, Soybean oil, Reg. Vinegar, Mayo, Sushi Ginger"".",15 - 1 gallon containers,Terminated,2022-06-01,2022-06-14,2022,6,1
Houston,TX,333 Northpark Central Dr,77073-6336,Class I,Undeclared egg,"Lean Pro 8 Vanilla 2,268g (5lb) Tub",3517 units,Terminated,2018-05-16,2018-10-19,2018,5,16
Gordonville,PA,4021B Old Philadelphia Pike,17529-9769,Class I,"Product labeling fails to declare allergens (egg, soybean oil) contained in mayonnaise used as ingredients","Sadie's Salads Cole Slaw, 5 lb, 10 lb and 30 lb plastic tubs",Unknown,Terminated,2012-10-10,2013-10-18,2012,10,10
Kansas City,MO,1 E Armour Blvd,64111-1201,Class II,"The product ingredients statement declares egg ingredients, but the ""Contains"" statement fails to declare egg.",Hostess Brownies Cookies 'n Cr¿me packaged in the following ways: 1) 6 Brownies individually wrapped packaged in a cardboard box Net Wt. 8.68 OZ (246 g) UPC 888109113575; 2) 2 Brownies packaged in a cardboard box Net Wt. 2.89 OZ (82 g) UPC 888109012021,"18,065 cases",Terminated,2018-09-05,2018-12-18,2018,9,5
Sunbury,PA,1000 S 2nd St,17801-3318,Class I,Undeclared egg,Weis Quality Brownie Moose Tracks Ice Cream (48oz)UPC of 041497-01194 Packaged in a scround container. 6 units per case.,total = 1814 containers & 2045 cases,Terminated,2023-10-04,2023-09-29,2023,10,4
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Wheat Hamburger Buns, Valley Bakery, Rock Valley, IA, 12 count. UPC 290218903907, packaged in clear plastic bags",12 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Moonachie,NJ,25 Knickerbocker Rd,07074-1613,Class I,Fish products contain undeclared egg and wheat.,"Fish Cake in Polybag 10/930g, Item no. 15731  UPC Code 087703157316",4 cases,Terminated,2017-12-20,2018-01-23,2017,12,20
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Snack Ramen 5PK, Cup  1lb 3.05oz x 8pk, 2.18oz x 6ea  Item #21501281, 21502161  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Kent,WA,"23444 30th Ave S., Space #104",98032-2807,Class I,"Butter Creek Farms, Inc. is recalling Chocolate Chip Cookies (Cow Chip, Calf Chip and Bull Chip) due to undeclared Wheat, Soy, Egg, Milk (butter is listed). The firm sold single product or combined this product with other products in gift boxes from the website http://cowchipcookies.com/index.htm.","Cow Chip, Calf Chip and Bull Chip are Chocolate Chip Cookies",unknown,Terminated,2014-04-09,2014-09-24,2014,4,9
Brooklyn,NY,1300 Metropolitan Ave,11237-1104,Class I,"Product may contain undeclared egg,","Master Carton is Labeled As: LOBSTER FLAVORED BALL DISTRIBUTED EXCLUSIVELY BY: H & C FOOD INC. BROOKLYN, NY 11237 KEEP FROZEN AT -18 C",300 cases,Terminated,2017-06-28,2018-10-12,2017,6,28
Moonachie,NJ,25 Knickerbocker Rd,07074-1613,Class I,Fish products contain undeclared egg and wheat.,"Fish Cake in Polybag 20/1lb., Item no. 13125 UPC Code 087703131256",5 cases,Terminated,2017-12-20,2018-01-23,2017,12,20
Leavenworth,WA,10171 Chumstick Hwy,98826-8762,Class II,"Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements.","8 Grain Bread, Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.",2 units.,Terminated,2022-01-19,2022-01-10,2022,1,19
West Monroe,LA,131 Frost Commerical Dr,71292-2479,Class I,Pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,Crazy about Cookies 2lb Monster Bash COLLECTION Decorated SUGAR COOKIE KIT Item # 03-4032 UPC Code - 698768034322,3231 units,Terminated,2016-01-13,2017-08-03,2016,1,13
Brooklyn,NY,1300 Metropolitan Ave,11237-1104,Class I,Product contains undeclared allergens egg and crustacean.,"Fish Balls, packaged in a red and white plastic bag with gold font, NET WT: 14OZ (400g), UPC: 6 953006 4 50093. Keep Frozen.",Unknown,Terminated,2018-09-19,2019-11-14,2018,9,19
Pittsburgh,PA,101 Kappa Dr,15238-2809,Class I,GetGo from Giant Eagle Voluntarily Recalls Select Grab-and-Go Subs Due to Undeclared Egg Allergen,"GetGo GNG 7 Inch Italian Sub Sell By: (up to and including) 04/02/15  Net Wt: 6.0 Oz.  Contains: Soy, Milk, Wheat  UPC: 25567 20399  GetGo from Giant Eagle  Distributed by Giant Eagle, Inc., Pittsburgh, PA 15238    Sandwich is wrapped in plastic.",4671 units,Terminated,2015-04-29,2015-05-27,2015,4,29
Los Angeles,CA,1700 N Soto St,90033-1127,Class II,AI Foods is recalling egg roll skins due to undeclared wheat.,"Cheesetix (Cheese Lumpia) 12.6 oz, 20 units/case, UPC 0 30283 16542 4",26 units,Terminated,2015-04-15,2015-07-24,2015,4,15
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Yeul Ramen (Bowl)  4.06oz x 12ea  Item #21305007  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Salinas,CA,1250 Hansen St,93901-4552,Class I,"Mann Packing was notified by a customer that the incorrect bottom label is on their Organic Veggie Tray with Best By date of January 14, 2017 and does not declare the allergens of egg, milk, soy and mustard.","Snacking Favorites Organic Veggies with Organic Ranch Dip.    16.25 oz. plastic tray (1.02 lb.)                  UPC barcode: 71651901471 - this is the incorrect barcode that is on the bottom of recalled product.  Correct UPC: 716519014765    Incorrect Allergen Statement: Egg. Milk  Correct Allergen Statement, Egg, Milk, Soy and Mustard.",201 cases (4 trays per case),Terminated,2017-02-08,2017-02-15,2017,2,8
Moonachie,NJ,25 Knickerbocker Rd,07074-1613,Class I,Fish products contain undeclared egg and wheat.,"Fish Ball in Polybag 24/12oz., Item no. 20072, UPC Code 087703200722",2 cases,Terminated,2017-12-20,2018-01-23,2017,12,20
Pittsburgh,PA,101 Kappa Dr,15238-2809,Class I,Products contain undeclared egg.,"BOLILLO WHEAT ROLL;   PLU: 97754;  NET WT: 14oz.;  Contains: Wheat, Soy",625 packages,Terminated,2015-05-06,2015-05-27,2015,5,6
Fall River,MA,630 Currant Rd,02720-4713,Class II,Lobster bisque contains undeclared noodle with egg ingredient.,"Panera Lobster Bisque, 16 oz.","17,992 units (2,987 cases)",Terminated,2021-05-19,2022-01-11,2021,5,19
New Berlin,WI,2400 S Calhoun Rd,53151-2710,Class I,Banana Puddin Base contains an undeclared egg sub-ingredient.,"Banana Puddin Base, item # 70 0559-1034, in 5 gallon plastic pail.  Net Wt:  48 LBS.  Ice Cream Flavoring.  Store Refrigerated (35-45F) at all times.  Denali Ingredients LLC, 2400 S. Calhoun Rd, New Berlin, WI  53151","6,096 lbs.",Terminated,2019-05-01,2019-06-27,2019,5,1
Pittsburgh,PA,101 Kappa Dr,15238-2809,Class I,Little Italy Panini contains Undeclared  Egg.,"Packed in rigid plastic clam shell container:  Giant Eagle Little Italy Panini Cold; Sell By: (all dates up to and including) 3/24/2015; PLU #97525; Net Wt 13oz; Contains Wheat, Milk, Fish (Anchovy); Keep Refrigerated  ;  Giant Eagle Little Italy Panini Hot; Sell By: (all dates up to and including) 3/22/2015; PLU: 7369; Net Wt 16oz; Contains Wheat, Milk, Fish (Anchovy).",66 units,Terminated,2015-04-15,2015-07-27,2015,4,15
Los Angeles,CA,1700 N Soto St,90033-1127,Class II,AI Foods is recalling egg roll skins due to undeclared wheat.,"Seafood Eggroll Lumpiang Shanghai, Reg. Size 34 oz, 9 units/case, UPC 7 95981 09175 7",47 units,Terminated,2015-04-15,2015-07-24,2015,4,15
Brooklyn,NY,220 36th St,11232-2545,Class I,Product contains undeclared egg.,"feel good foods VEGETABLE FRIED RICE NET WT 9 OZ (255G), UPC: 8 99039 00212 9. Frozen.",415 cases,Terminated,2018-11-07,2019-02-05,2018,11,7
Seattle,WA,4301 University Way Ne,98105-5808,Class II,"Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Egg, Milk, and Wheat.","Sweet Alchemy Strawberry Rhubarb Crumble ice cream, distributed in pints. Label declares company name, flavor name, but does not declare ingredients and allergens.",12 pints,Terminated,2023-08-16,2023-09-11,2023,8,16
Grand Rapids,MI,2929 Walker Ave Nw,49544-6402,Class I,salads and sandwiches contain a sourced cooked egg ingredient which tested positive for Salmonella by the supplier.,MARKETS OF MEIJER TUNA SALAD SANDWICH WEDGE   7 OZ EA  individual packaged sandwich,3071 units,Terminated,2016-09-21,2016-10-28,2016,9,21
Brisbane,CA,201 S Hill Dr,94005-1204,Class I,Undeclared allergen; egg.,Small 12- Tea Flavor Assorted Mooncake Gift Box,,Ongoing,2023-10-25,,2023,10,25
Austin,TX,601 N Lamar Blvd Ste 300,78703-5424,Class I,Whole and sliced Apple and Cherry Pies from five stores in the Mid-Atlantic Region contain  undeclared milk and egg.,"Whole Foods Market Everyday Double Crust Cherry Pie sold in clear plastic clamshell with scale label applied. Sold as whole pie or by the slice. PLUs 74874, 74401, 33405",548 pies (total),Terminated,2021-10-27,2021-12-08,2021,10,27
Hodgkins,IL,6800 Santa Fe Dr,60525-7639,Class I,Eggs in RTE bacon and egg packet may contain Listeria Monocytogenes.,RTE bacon and eggs 3.6 oz package,"2516 cases, 6793.2 lbs.",Terminated,2020-01-22,2020-05-20,2020,1,22
Austin,TX,601 N Lamar Blvd Ste 300,78703-5424,Class I,Undeclared egg,Whole Foods Market Vanilla Short Bread Cookies packaged in clear plastic container with a white scale label applied PLU 66705,23 units,Ongoing,2022-03-09,,2022,3,9
Ronkonkoma,NY,700 Union Pkwy Ste 4,11779-7427,Class I,"The products contain undeclared egg and FD&C colors Yellow 5 or 6, Red 3 or 40, and/or Blue 1 from the royal icing component used on the finished pops.","Assorted Milk Chocolate Royal Icing Pops sold as Assorted Character Icing Pops, Christmas Icing Pops, and Triple Heart Icing Pops, 24 pops per box.  The Milk Chocolate Icing Pops are made to order and sold in unmarked bulk boxes.  Each Milk Chocolate Icing Pop is individually wrapped for retail sale in 2 oz. clear cellophane with a curl ribbon closure.",10 boxes (24 pops per box),Terminated,2015-04-01,2018-06-13,2015,4,1
Portage,WI,1530 La Dawn Dr,53901-8823,Class I,Dawn's Foods is recalling Vandellia Onion Dip due to undeclared egg.,"Dawn's Vidalia Onion Dip, Net Wt. 5 lbs. (2.27 kg)",189 cases (2-5 lb containers per case),Terminated,2013-12-18,2014-03-12,2013,12,18
Pittsburgh,PA,101 Kappa Dr,15238-2809,Class I,"Retail store cut cheese packages did not declare the presence of Lysozyme, an egg allergen.","Giant Eagle Store cut Fontal Cheese wrapped in plastic wrap  Belgium Imported Fontal - CD;  Sell By: (up to and including) 04/23/2015  PLU: 16124  Giant Eagle  Distributed by: Giant Eagle, Inc., Pittsburgh, PA 15238",225 units since 1/19/2015,Terminated,2015-05-13,2015-07-27,2015,5,13
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Large Hamburger Buns, Valley Bakery, Rock Valley, IA, 4 count. UPC 290223201401, packaged in clear plastic bags",6 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Harrisburg,PA,2001 Herr St,17103-1624,Class II,Dried Egg Yolks was not specifically stated in ingredient statement,"365 brand Egg Nog, Grade A; 1 qt. and 1/2 GAL; and    Harrisburg Dairies brand Egg Nog, Grade A; 1/2 GAL, 1 Quart, 16 FL. OZ.","14,134 units",Terminated,2018-01-17,2018-03-27,2018,1,17
Miami,FL,1864 Nw 22nd St,33142-7444,Class I,Undeclared Egg,"Chocolate Flavor, 1 QT",3 quarts,Terminated,2021-10-06,2022-02-11,2021,10,6
Fairfield,NJ,40 New Dutch Ln,07004-2514,Class I,Bella Rosa Grated Parmesan Cheese may contain undeclared egg lysozyme.,"Bella Rosa Parmesan Net Wt. 20 oz (567 g) 1.25 LB Arthur Schuman, Inc. Fairfield, NJ 07064  UPC 088231410041","26,075 lbs",Terminated,2015-08-19,2016-05-06,2015,8,19
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"White Crimp, Valley Bakery, Rock Valley, IA, 1 count. UPC 290113203607, packaged in clear plastic bags",1 retail package,Terminated,2017-05-03,2017-07-17,2017,5,3
Middlebury,IN,1065 N 1150 W,46540-9340,Class I,Undeclared egg ingredient and undeclared Yellow # 6 and Yellow #5,"Rise n Roll Bakery & Deli, Raspberry Creme Donuts, sold individually and  found in 6 count (436 g) UPC Code 6 26570 61744 0  or 12 count (861.83 g) UPC Code 6 26570 617457,  variety donut box identifying all donut varieties     Raspberry Creme Donuts  Enriched wheat flour, soybean oil, dextrose, salt, leaving, soy flour, dry whey, mono and diglycerides with BHT, sodium stearoyl, latylate, guar gum wheat starch, ascorbic acid, corn oil, beta carotene, citric acid, silicon dioxide, alpha tocopherols, tricalcium phosphate, soy shortening (palm oil, soybean oil, vitamin E)     FILLING:  Black raspberries, granulated sugar, permaflo, lemon juice and natural flavor.    Contains wheat, soy and milk",Unknown,Terminated,2014-03-12,2014-04-23,2014,3,12
Downers Grove,IL,3500 Lacey Road,60515,Class I,"Some of the Jimmy Dean French Toast & Sausage Sandwiches were mislabeled on the back label with an ingredients statement for another product, resulting in undeclared allergens, egg and soy, not listed on the label.","Jimmy Dean French Toast & Sausage Sandwich, Net Wt 3.9 oz (110g); a food service individually butcher paper wrapped, fully cooked frozen sandwich; 12 sandwiches per 2.74 lb case; UPC 54500 51434",405 cases,Terminated,2012-12-05,2016-04-11,2012,12,5
Grand Rapids,MI,2929 Walker Ave Nw,49544-6402,Class I,salads and sandwiches contain a sourced cooked egg ingredient which tested positive for Salmonella by the supplier.,MEIJER POTATO SALAD AMISH 3 LB  plastic retail container,15564 units,Terminated,2016-09-21,2016-10-28,2016,9,21
Brisbane,CA,99 Park Ln,94005-1309,Class I,Labeling for Croissants sold in Northern CA fails to declare  egg in the ingredients list or allergen information. The croissants are manufactured with an egg wash.,"Chocolate Croissant:: sold in self serve cases and 4 pack clamshell package.  Ingredients: Dough (enriched unbleached flour [wheat flour, malted barley flour, niacin, iron, thiamin, mononitrate, riboflavin, folic acid] water, butter, sugar, milk, yeast, salt, ascorbic acid, enzymes.  Filling: Chocolate bar [sugar, chocolate liquor, cocoa, butter, soya lecithin, whole milk powder, natural vanilla extract. Topping (egg spray). Contains Milk, Eggs, Wheat, soy.    Note: This information is from the new label.    Manufactured by Bakers of Paris, Brisbane, CA for Whole Foods Markets.    UPC: Croissant 4 Pack Baker Paris, 241593007993;             Self Serve case Chocolate Croissant, 46000058528",645 individual croissants,Terminated,2017-01-25,2017-01-18,2017,1,25
Pittsburgh,PA,101 Kappa Dr,15238-2809,Class I,Undeclared egg allergen,"Giant Eagle Chicken Street Taco Kit; 20 oz (1 lbs 4 oz) Individual Units, PLU Code beginning  256598 00000",1107 Cases,Terminated,2021-06-09,2021-07-09,2021,6,9
Lorida,FL,1807 Us Highway 98,33857-9774,Class I,"Undeclared major allergens (fish, egg, soy, milk, wheat, and crustacean shellfish) in  ""Captain Rusty's"" brand Cajun Crab & Lobster Dip uncovered during FDACS routine inspection.","Captain Rusty's Cajun Crab & Lobster Dip, Made with real Blue Crab and Lobster meat, Keep Refrigerated,16 oz.",unknown,Terminated,2020-06-24,2020-11-03,2020,6,24
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Ppushu Ppushu Spicy Flavor  3.17oz x 40ea  Item #21503008  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Paczkis - Cheese Flavor packaged in a clear plastic clamshell  4 pack,1358,Terminated,2022-03-16,2022-03-18,2022,3,16
Delphos,OH,1600 Gressel Dr,45833-9153,Class I,Undeclared Allergen - Egg,Smilin' Bob's Key West Original Smoked Fish Dip  8oz plastic container with tamper proof lid  12 containers per case,5532 containers (461 cases),Terminated,2021-11-10,2022-01-04,2021,11,10
Fullerton,CA,2325 Moore Ave,92833-2510,Class I,Undeclared egg.,Winco Foods  Creamy Ranch Dressing  16 fl oz.  UPC Code: 0 70552 70103 8,"2,738 cases",Terminated,2017-01-11,2017-03-28,2017,1,11
Brooklyn,NY,47 Bridgewater St # 57,11222-3820,Class I,"Product may contain undeclared allergens, specifically egg and milk","FuPaiYuan ""***NOUGAT CANDIES***20190424***Candy***NET WT 450G (15.8oz)***INGREDIENTS Glucose syrup, sugar, peanut, shortening, salt, food additives (Gelatin)***Allergies: Contains peanuts***RONG SHING TRADING NY INC***47-57 BRIDGEWATER STREET BROOKLYN NY, 11222***BEST BEFORE: 01.23.2020***""",54 cartons; 20 bags/carton; total: 1080 bags,Terminated,2019-10-02,2021-03-19,2019,10,2
Grand Rapids,MI,2929 Walker Ave Nw,49544-6402,Class I,salads and sandwiches contain a sourced cooked egg ingredient which tested positive for Salmonella by the supplier.,MEIJER EGG SALAD SPREAD 12 OZ   retail plastic container,3533 units,Terminated,2016-09-21,2016-10-28,2016,9,21
New Century,KS,101 Prairie Village Dr,66031-1112,Class I,Products potentially contain undeclared egg.,"Monarch Worcestershire Sauce, Net 1 gallon, Distributed by US Foods, Inc. Rosemont, IL, packaged in plastic jugs.",908 cases total,Terminated,2017-11-22,2018-03-01,2017,11,22
Salinas,CA,121 Spreckels Blvd Bldg 10,93962,Class I,Undeclared egg,"Wegman's Organics Sweet Kale Chopped Salad Kit, 8oz.",525 cases,Ongoing,2023-11-08,,2023,11,8
Louisville,KY,143 N Spring St,40206-1950,Class I,"The firm failed to declare milk, egg & soy on their label.","Derby City Vending Buffalo Chicken Sandwich Deli Selections Ingredients: Chicken***Ranch Cup; Pretzel bun***Lettuce, Tomato CONTAINS WHEAT Fresh Thru 12/4/16  Derby City Vending Louisville, KY 40206",35,Terminated,2017-01-11,2017-02-23,2017,1,11
Federal Way,WA,34114 21st Ave S,98003-8984,Class II,Undeclared egg. Lemon Curd yogurt was mis-labeled as Vanilla Bean yogurt and egg is not declared on Vanilla Bean yogurt label.,"The Vanilla Bean Greek Yogurt 4oz cup is part of the 12-Pack case, Ellenos Greek Yogurt, Grade A Milk, Costco Item Code: # 1340833.    The 12-Pack case has the UPC 8 57290 00617 1.   The Vanilla Bean Greek Yogurt 4oz cup has the UPC 8 57290 00620 1.  Label declares Ingredients: Yogurt (Grade A Pasteurized Milk, Grade A milk Protein Concentrate***Cane Sugar, Honey, Pure Vanilla Extract, Natural Flavor, Ground Vanilla Beans.  Allergen: Contains Milk. Made in a facility that processes Egg, Wheat, and Tree Nuts. Manufactured By: Real Greek LLC, Plant Code 53-74, Federal Way, WA.","4,016 cases (16,064 cups) were distributed and about 340 cases (1,348 individual cups) were impacted",Terminated,2023-05-24,2023-05-24,2023,5,24
West Monroe,LA,131 Frost Commerical Dr,71292-2479,Class I,Pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,Crazy about Cookies 2lb Holiday Gathering COLLECTION Decorated SUGAR COOKIE KIT Item # 03-4034 UPC Code - 698768034346,8942 units,Terminated,2016-01-13,2017-08-03,2016,1,13
Greenville,KY,100 Gourmet Dining Dr,42345-1460,Class I,The firm discovered a potential for undeclared egg in their Bremer Garlic Shrimp skillet meal.,"Bremer Garlic Shrimp MEAL IN MINUTES Pasta in Garlic Sauce with Broccoli, Shrimp, Corn and Carrots 21 oz bags, CONTAINS: WHEAT, MILK, CRUSTACEAN SHELLFISH (SHRIMP) Distributed by ALDI Inc., Batavia, IL 60510 0 41498-17223-7  3-cheese chicken & Chicken Lo Mein was recalled by USDA.","7,920/21 oz bags",Terminated,2013-12-25,2014-09-03,2013,12,25
Hayward,CA,31128 San Clemente Street,94544,Class II,"Consumer complaint alerted firm that one date code of Butternut Squash Ravioli, may actually contain Spinach Florentine Ravioli that contains milk, egg and soy ingredients that are not listed as ingredients of the package.","Rising Moon Organics  Butternut Squash Ravioli,  Organic, Vegetarian & Delicious;        Keep Frozen;  Net Wt. 8 oz.  UPC: 7-85030-55557-6.    Manufactured for Rising Moon Organics.  Manufactured by: Carmel Food Group,  Hayward, CA","2,160 cases (6 x 8 oz. packages)",Terminated,2014-09-03,2016-03-09,2014,9,3
Portland,OR,301 Se 2nd Ave,97214,Class I,Product is recalled due to undeclared egg.,"Spicy Shrimp Tempura Roll, Mai brand, packed in container with clear plastic lid, net wt. 8 oz., UPC 8 12824 01525 8.    The label is read in parts: ""***MAI SPICY SHRIMP TEMPURA ROLL **KEEP REFRIGERATED***Allergen: SOY, WHEAT, SHELLFISH***""dist by Mai Sushi 2 Penn Center, Suite 725, 1500 JFK Blvd Philadelphia, PA***",22 pkg.,Terminated,2019-07-03,2019-07-19,2019,7,3
Austin,TX,550 Bowie St,78703-4644,Class I,Undeclared lysozyme (from egg whites),Whole Foods Market IL FORTETO Genovese Pesto PLU 20017100000 Individual sliced cheese wrapped in plastic wrap with scale label on top.,83.46 lbs,Terminated,2020-09-09,2020-11-03,2020,9,9
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Specialty Crimp, Valley Bakery, Rock Valley, IA, 1 count. packaged in clear plastic bags",Unknown,Terminated,2017-05-03,2017-07-17,2017,5,3
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Paczkis - Prune Flavor packaged in a clear plastic clamshell  4 pack,65,Terminated,2022-03-16,2022-03-18,2022,3,16
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Brat Buns, Valley Bakery, Rock Valley, IA, 6 count. UPC 290200602603, packaged in clear plastic bags",13 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Chula Vista,CA,2311 Boswell Rd,91914-3512,Class I,Bee International is recalling Sweet Spots Candy because it has undeclared egg allergen.,"Candy Sweet Spots, 2oz. (3 display packages/case; 12-2oz packages/display case).    UPC 0-73563-00471-6",4481 cases,Terminated,2014-01-22,2014-05-13,2014,1,22
Albert Lea,MN,2110 Yh Hanson Ave,56007-3406,Class II,Firm is recalling various Egg Salads and Potato Salads because they may contain undeclared traces of imitation crab meat,"Potato Salad packaged in the following branded and sized containers:    1.  Mrs. Gerry's Deli Fresh Potato Salad, Net Wt. 1 lb. (454 g) UPC 17839-93001,    Net Wt. 3 lb. (1.36 kg), UPC 17839-93003.  Net Wt. 5 lb. (2.26 kg), UPC 17839-93005.  Net Wt. 12 lb. (5.44 kg), UPC 17839-93012  Keep Refrigerated.  Manufactured by Mrs. Gerry's, Albert Lea, MN  56007.    2.  Open Acres American Potato Salad, Net Wt. 3 lb. (1.36 kg), UPC 84853-62044.  Distributed by Pique Brands, Inc., Grand Rapids, MI.","13,232 lbs.",Terminated,2018-04-25,2019-06-21,2018,4,25
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Tea Rolls, Valley Bakery, Rock Valley, IA, 12 count. UPC 290215303502, packaged in clear plastic bags",47 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Fargo,ND,200 20th St N,58102-4136,Class I,"The ice cream products may contain undeclared eggs.  A flavoring containing egg yolks was used as an ingredient in the products, and the ingredient statement on the product package did not reveal the presence of eggs.","Peppermint Bon Bon Light Ice Cream under the following three brands:    Hornbachers,   Peppermint Bon Bon Light Ice Cream,  Half Gallon (1.89 L),   UPC 41130-21663, Distributed by Supervalu Inc, Eden Prairie, MN 55344.    SunnyBrook, Peppermint Bon Bon Light Ice Cream,  Half Gallon (1.89 L),    UPC 70422-24919, Distributed by Mason Brothers Co., Wadena, MN 56482.    Schroeder, Peppermint Bon Bon Ice cream,  56 oz  or 1.75 Qt (1.65 L)	3 ,   UPC 72340-00193, Schroeder Company, Maplewood, MN 55113",2492 units,Terminated,2012-08-01,2012-11-27,2012,8,1
South El Monte,CA,2111 Chico Ave,91733-1606,Class I,Undeclared egg,"Giai Phat Fish Ball NET WT:11 oz. (312gr)  Perishable Keep product refrigerated at 38F or below.  May be frozen  Item # 20113  Ingredients: Fish meat (may contain: surimi (Japanese Threadfin Bream, Sugar, Polyphosphate), Lady Fish and or Grey Featherback Fish), Water, Tapioca Flour, Salt, Monosodium Glutamate, Garlic Powder, White Pepper, Baking Powder (Sodium Acid Bicarbonate, Corn Starch, and Monocalcium Phosphate) and Spice.  Distributed By: 888 Food Co.  S. El Monte, CA 91733    Ho King Fish Balls Net. Wt. 11 oz. (312g)  Keep Product Refrigerated at 38F or below may be frozen  Item #922113  Ingredients: Fish meat (surimi), Water, Tapioca Flour, Salt, Sugar, Monosodium Glutamate, Garlic Powder, White Pepper, Baking Powder (Sodium Bicarbonate, Corn Starch, and  Monocalcium Phosphate) Spice and Sesame Oil.  Dist. By: Chaur Fond  South El Monte, CA 91783","335,401 bags (total)",Terminated,2022-06-29,2023-01-31,2022,6,29
City Of Industry,CA,15339 Don Julian Rd,91745-1034,Class I,"Product was found to have the presence of egg, which is not declared on the label.",JSJ Chocolate Cake 3.35 oz (95g) 28 units per case produced date: 2022/11/08,"12,432 units total",Terminated,2023-03-15,2023-06-06,2023,3,15
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Paczkis - Raspberry Flavor packaged in a clear plastic clamshell  4 pack,790,Terminated,2022-03-16,2022-03-18,2022,3,16
Glendale,CA,207 Goode Avenue,91203,Class I,Undeclared allergen; egg.,"Whole Foods  Hand Pie Apple Cinnamon 3 PK, NET WT 8 oz.  PLU number 23646100000",34 units (3 packs),Terminated,2017-11-08,2018-01-03,2017,11,8
